"Walmart Inc.","WMT","Consumer Staples",""
"Vanguard S&P 500 ETF","VOO","ETF",0.03
"The Coca-Cola Company","KO","Consumer Staples",""
"The Home Depot Inc.","HD","Consumer Discretionary",""
"Tesla Inc.","TSLA","Consumer Discretionary",""
"Snowflake Inc.","SNOW","Information Technology",""
"Starbucks Corporation","SBUX","Consumer Discretionary",""
"Simon Property Group Inc.","SPG","Real Estate",""
"Realty Income Corporation","O","Real Estate",""
"Invesco QQQ Trust","QQQ","ETF",0.02
"Patria Investments Limited","PAX","Financials",""
"NVIDIA Corporation","NVDA","Information Technology",""
"Netflix Inc.","NFLX","Communication Services",""
"Microsoft Corporation","MSFT","Information Technology",""
"JPMorgan Equity Premium Income ETF","JEPI","ETF",0.35
"Highwoods Properties Inc.","HIW","Real Estate",""
"EPR Properties.","EPR","Real Estate",""
"Costco Wholesale Corporation","COST","Consumer Staples",""
"Blue Owl Capital Inc.","OWL","Financials",""
"Apple Inc.","AAPL","Information Technology",""
"Amazon.com, Inc.","AMZN","Consumer Discretionary",""
"Alphabet Inc.","GOOG","Communication Services",""
"BSR Real Estate Investment Trust","BSRTF","Real Estate",""